Token	Class
κωλύω	Verb
λείπω	Verb
εἴκοσι	Adjective
ἦ	Adverb
θυσία	Noun-F
στρατός	Noun-M
διώκω	Verb
παλαιός	Adjective
παρέρχομαι	Verb
βοηθέω	Verb
ἀπέρχομαι	Verb
ὧδε	Adverb
φρονέω	Verb
χρεία	Noun-F
τίκτω	Verb
λύω	Verb
ἄπειμι	Verb
πεζός	Adjective
ἀνά	Preposition
τοιόσδε	Pronoun
πλησίος	Adjective
αἰσχρός	Adjective
πόνος	Noun-M
Ῥώμη	Noun-F
νεκρός	Adjective
πότερος	Adjective
σωτηρία	Noun-F
πλέω	Verb
ὅθεν	Adverb
σεαυτοῦ	Pronoun
πέρ	Particle
αἰών	Noun-M
πύλη	Noun-F
ὄψις	Noun-F
ἁμαρτάνω	Verb
Αἰγύπτιος	Noun-M
κατοικέω	Verb
γεννάω	Verb
Δαυίδ	Noun-M
ἐμβάλλω	Verb
ἑπτά	Adjective
βλέπω	Verb
τολμάω	Verb
ἐπιτίθημι	Verb
ἔπος	Noun-N
ἀργύριον	Noun-N
ἑταῖρος	Noun-M
ἀπολείπω	Verb
ἄνω	Adverb
Ἡρακλῆς	Noun-M
μείς	Noun-M
ἄγγελος	Noun-M
ἔξεστιν	Verb
ἁλίσκω	Verb
οὐχί	Adverb
αἰτέω	Verb
πεδίον	Noun-N
στρατεύω	Verb
ἐφίστημι	Verb
τύραννος	Noun-M
ἐκκλησία	Noun-F
ἑκατόν	Adjective
σχῆμα	Noun-N
ἔνιοι	Adjective
αἰσθάνομαι	Verb
ἰσχυρός	Adjective
ἐμαυτοῦ	Pronoun
ἀπαλλάσσω	Verb
ὑπομένω	Verb
ὅπου	Adverb
συμφορά	Noun-F
φάος	Noun-N
ἐρῆμος	Adjective
ἐπιδείκνυμι	Verb
βραχύς	Adjective
ἄνευ	Preposition
διάνοια	Noun-F
γράμμα	Noun-N
βοῦς	Noun-M
ἅπτω	Verb
ἀγορά	Noun-F
ποιητής	Noun-M
ὕλη	Noun-F
μυρίος	Adjective
κτείνω	Verb
ἄδικος	Adjective
ἀγαπάω	Verb
σοφία	Noun-F
