Token	Class
πόκος	Noun-M
Ἀριστεύς	Noun-M
διαμαρτία	Noun-F
διαφοιτάω	Verb
Ἄλπις	Noun-F
Κωνστάντιος	Noun-M
ὑποκινέω	Verb
Τιτυός	Noun-M
ἀγαθωσύνη	Noun-F
Ἀταρνεύς	Noun-M
Μελικέρτης	Noun-M
εὔξοος	Adjective
Ταναγραῖος	Noun-M
παραβιάζομαι	Verb
πόρτις	Noun-F
ἴκρια	Noun-N
ἀνακλαίω	Verb
ζείδωρος	Adjective
καλλονή	Noun-F
συμμετρέω	Verb
ἐπιπάσσω	Verb
Δορίσκος	Noun-M
Ἀνδρομάχη	Noun-F
φθαρτικός	Adjective
σφριγάω	Verb
Φαρνάκης	Noun-M
ἀπατήλιος	Adjective
σκηνοπηγία	Noun-F
διαπείρω	Verb
ζάλη	Noun-F
ναυαρχία	Noun-F
Πύδνα	Noun-F
Ποτιδαία	Noun-F
παραπόλλυμι	Verb
δικαιοπραγέω	Verb
ὄρθριος	Adjective
ἀταρβής	Adjective
σκοτίζω	Verb
Ὀτάνης	Noun-M
ἀπαιδία	Noun-F
ἐμπεριπατέω	Verb
μέσφι	Conjunction
ζωγραφέω	Verb
κόφινος	Noun-M
λίτρα	Noun-F
Πολύκαρπος	Noun-M
μακαριότης	Noun-F
ἱκανόω	Verb
τέμαχος	Noun-N
Ιθαμαρ	Noun-M
χερμάδιον	Noun-N
Παρθυαίου	Noun-M
σχεδιάζω	Verb
Οὐρίατθος	Noun-M
προκομίζω	Verb
συνδιαιτάω	Verb
νεοσσιά	Noun-F
εὔκυκλος	Adjective
Ἄρβηλα	Noun-F
λοίγιος	Adjective
νέρτερος	Adjective
περιβόλαιον	Noun-N
Μινύαι	Noun-M
ἄπτερος	Adjective
Δικαιογένης	Noun-M
κόχλιας	Noun-M
Μενήνιος	Noun-M
ἐνσκήπτω	Verb
ῥιγόω	Verb
κόθορνος	Noun-M
ἐξοικοδομέω	Verb
παιπαλόεις	Adjective
ἀτίθασος	Adjective
ἐξελεύθερος	Noun-M
συνεκπέμπω	Verb
Ἀρκτοῦρος	Noun-M
ὠθισμός	Noun-M
θριγκός	Noun-M
μεσόγεια	Noun-F
Παρύσατις	Noun-F
Ἱππόλοχος	Noun-M
ἀγοστός	Noun-M
Ἀπολλοφάνης	Noun-M
ἰδιάζω	Verb
προτείχισμα	Noun-N
ἀπείριτος	Adjective
λοίσθιος	Adjective
θηρευτικός	Adjective
ἀπεοικώς	Verb
μακρολογέω	Verb
κεραμεοῦς	Adjective
καταζεύγνυμι	Verb
φυσιολογία	Noun-F
εὐμήχανος	Adjective
Δουκέτιος	Noun-M
σπιλάς	Noun-F
Οζιηλ	Noun-M
διατείχισμα	Noun-N
χρίσις	Noun-F
παράκλητος	Noun-M
ἀκαιρία	Noun-F
ἄπεπτος	Adjective
εὐλόγιστος	Adjective
διαπέταμαι	Verb
κτέαρ	Noun-N
ἐργαλεῖον	Noun-N
μεταστρατοπεδεύω	Verb
ὀρνίθιον	Noun-N
Ἀμύκλαι	Noun-F
ψευδομαρτυρέω	Verb
ὀρυμαγδός	Noun-M
κυδιάω	Verb
ἀκέων	Adjective
πολυάνδριος	Noun-N
ποίκιλμα	Noun-N
Κηφισόδοτος	Noun-M
ἄθλησις	Noun-F
Νιρεύς	Noun-M
θεολογία	Noun-F
ἐπαναβαίνω	Verb
ἀείμνηστος	Adjective
διεσθίω	Verb
ἔγκατα	Noun-N
μεταβιβάζω	Verb
ναυβάτης	Noun-M
Ἀριστίων	Noun-M
τετίημαι	Verb
Ρουθ	Noun-F
ἐπικάθημαι	Verb
πρόσκομμα	Noun-N
στρατολογέω	Verb
συμφύρω	Verb
Φιδήνῃ	Noun-M
πορισμός	Noun-M
ἀθύρω	Verb
κοιλαίνω	Verb
πολυανθρωπία	Noun-F
γεῦμα	Noun-N
Βηλ	Noun-M
ἐλαφρίζω	Verb
Τριφυλίη	Noun-F
συναλίζω	Verb
γναμπτός	Adjective
πορθμεύω	Verb
θεήλατος	Adjective
δειλιάω	Verb
ἀκατάληπτος	Adjective
ἀναθέω	Verb
Πάνδαρος	Noun-M
ἔργνυμι	Verb
μείωσις	Noun-F
ἀδέκαστος	Adjective
λαιψηρός	Adjective
ἀναφλέγω	Verb
ὑπήνη	Noun-F
νυκτερεύω	Verb
ἀνόμημα	Noun-N
Φοιβίδης	Noun-M
βαβαί	Interjection
ἄζηλος	Adjective
οἰκοδεσποτία	Noun-F
ἀθλοφόρος	Adjective
τιθηνέω	Verb
κυνηγετέω	Verb
ἀντιμαρτυρέω	Verb
πιότης	Noun-F
Ἐπιμενίδης	Noun-M
ταύρειος	Adjective
Παναίτιος	Noun-M
ἐνεχυράζω	Verb
ἀκρότης	Noun-F
καύσων	Noun-M
συμπεριλαμβάνω	Verb
ἀδολεσχέω	Verb
ἀλγύνω	Verb
κατανύσσω	Verb
αὐαίνω	Verb
εἰσίημι	Verb
ἐξουσιάζω	Verb
ὠμηστής	Noun-M
ἑστιάτωρ	Noun-M
ἀνασκολοπίζω	Verb
τεθαρρηκότως	Adverb
δαφοινός	Adjective
Νέμειον	Noun-N
διαπιστέω	Verb
ἔκλυσις	Noun-F
παρακατέχω	Verb
ἀνθέλκω	Verb
νεμεσητός	Adjective
ἀπρόσιτος	Adjective
συμφιλοσοφέω	Verb
ἐνέργημα	Noun-N
ἄπνοος	Noun-F
Μίνυος	Noun-F
κατηχέω	Verb
προσκομίζω	Verb
ἀνώδυνος	Adjective
Νεφθαλιμ	Noun-M
οὗπερ	Adverb
ἀπαμύνω	Verb
παραλέγω	Verb
μεριστής	Noun-M
ἀνιμάω	Verb
Ἡρῳδιάς	Noun-F
γλύφω	Verb
προσέπειμι	Verb
κυβιστάω	Verb
ἀπραξία	Noun-F
εὐανδρία	Noun-F
ἐρεμνός	Adjective
ἔνδηλος	Adjective
ἀνοιμώζω	Verb
Κράτυλος	Noun-M
διατειχίζω	Verb
Αὐγέης	Noun-M
κάρπιμος	Adjective
ἐθελοκακέω	Verb
εὔχαρις	Noun-M
ὄρχις	Noun-F
μυέω	Verb
Ἀντίπας	Noun-M
ὑγραίνω	Verb
νάβλα	Noun-F
ὁμόστολος	Adjective
σχίζα	Noun-F
κατανοήσις	Noun-F
μώλωψ	Noun-M
οἰκοδομικός	Noun-F
λέπας	Noun-F
χρεῖος	Adjective
εἰσάπαξ	Adverb
Γράνικος	Noun-M
αὐτοσχεδιάζω	Verb
ὀπυίω	Verb
Κάνωβος	Noun-M
Πραινεστὸς	Noun-M
ἐνδιαιτάομαι	Verb
ἀλεγίζω	Verb
διάσημος	Adjective
συμμιγής	Adjective
Πέρινθος	Noun-M
εἴσοπτρον	Noun-N
ἱππεία	Noun-F
Ρῖνας	Noun-M
διαπόντιος	Adjective
Γλαφύρα	Noun-F
ἐξαράσσω	Verb
περίλυπος	Adjective
Ῥοβόαμος	Noun-M
περιπόρφυρος	Adjective
φιμόω	Verb
λάτρις	Noun-F
ἀντιπέρας	Adverb
πέλωρον	Noun-N
Ζακύνθιος	Noun-M
ἀναξυρίδες	Noun-F
ἐπάγγελμα	Noun-N
συνευδοκέω	Verb
ἐμπεριέχω	Verb
ἐγκονέω	Verb
ὁπλισμός	Noun-M
διακοπή	Noun-F
ἀνακαινίζω	Verb
ἐπιμαίομαι	Verb
ἀσπαστός	Adjective
λατομέω	Verb
ὅρκιος	Adjective
πρών	Noun-M
κνώδαλον	Noun-N
ἀγέννητος	Adjective
ἀνασπαστός	Adjective
περιρραντήριον	Noun-N
ἀντίρροπος	Adjective
Κολλατῖνος	Noun-M
ἄνοος	Adjective
θύνω	Verb
σύννοια	Noun-F
ἰά	Noun-F
λιπαίνω	Verb
γλωχίν	Noun-F
ἄπλαστος	Adjective
λιάζω	Verb
σής	Noun-M
εὐποίητος	Adjective
Λαμπρία	Noun-M
Εὐρυνόμη	Noun-F
ἐκδέρω	Verb
ἐκδέω	Verb
μέδω	Verb
Μεσσάλας	Noun-M
Μαριανδυνός	Noun-M
προφερής	Adjective
δαιμονίζομαι	Verb
Κωλώτης	Noun-M
ἐκπλάσσω	Verb
μετασκευάζω	Verb
ἐμπηδάω	Verb
ἀδημονέω	Verb
κλισμός	Noun-M
θορυβώδης	Adjective
Ἀργολικός	Noun-M
Μελχα	Noun-F
εὔτροχος	Adjective
πυέλος	Noun-F
συμποδίζω	Verb
ἀργύρωμα	Noun-N
ἀνίερος	Adjective
ἔκκρισις	Noun-F
γλεῦκος	Noun-N
Μηνόδωρος	Noun-M
νοτίς	Noun-F
ἠμαθόεις	Adjective
Βελιάρ	Noun-M
Ἄδα	Noun-F
φερώνυμος	Adjective
διαζώννυμι	Verb
πανύστατος	Adjective
Φαῦστος	Noun-M
ἐπιβιβάζω	Verb
πολεμήιος	Adjective
εἰσαναβαίνω	Verb
εὐστοχέω	Verb
οἰκογενής	Adjective
πύκνωσις	Noun-F
αὔλημα	Noun-N
πετρήεις	Adjective
ἔμπληκτος	Adjective
ἀναίμακτος	Adjective
Κλαζομεναί	Noun-F
κρυφῇ	Adverb
ῥητορεύω	Verb
προσκληρόω	Verb
ἀνακομιδή	Noun-F
ἐνακισχίλιοι	Adjective
ἀναζυγή	Noun-F
περιτείχισμα	Noun-N
ἀνάριθμος	Adjective
ἔξοιδα	Verb
στίζω	Verb
κάλπις	Noun-F
διείρω	Verb
σχίσμα	Noun-N
ῥητορεία	Noun-F
ἀιστόω	Verb
Σ	Noun-M
περικεφαλαία	Noun-F
Σίκκιος	Noun-M
μίλιον	Noun-N
ἀποπλάζω	Verb
νεοχμόω	Verb
ἐπικελεύω	Verb
Λάδων	Noun-M
Κέρβερος	Noun-M
ἠγάθεος	Adjective
διαλάμπω	Verb
Λευκοθέα	Noun-F
στήμων	Noun-M
γόμφος	Noun-M
ῥαίω	Verb
περιοικίς	Noun-F
συνεστιάω	Verb
πανημέριος	Adjective
Ιεροβααλ	Noun-M
Μισγόλας	Noun-M
λεπταλέος	Noun-M
πλαστικός	Adjective
Κηφισοφῶν	Noun-M
λεληθότως	Adverb
νύχιος	Adjective
αὔλιον	Noun-N
χρεμετίζω	Verb
Ιωανου	Noun-F
ἀσίδηρος	Adjective
λωποδύτης	Noun-M
παλιγγενεσία	Noun-F
Ἀρκεσίλεως	Noun-M
γεωμετρέω	Verb
Ἰωλκός	Adjective
ἀποπίμπλημι	Verb
κεδάννυμι	Verb
στράπτω	Verb
νεωλκέω	Verb
λύτρωσις	Noun-F
Εὐεργέτης	Noun-M
ἐπικύπτω	Verb
μελαγχολικός	Adjective
Ἀμαλθεία	Noun-F
Ἑρμαῖος	Noun-M
Αχια	Noun-M
Κιμμερικός	Adjective
ἰγνύα	Noun-F
νοσσιά	Noun-F
Οὐαλλέριος	Noun-M
πνῖγος	Noun-N
κατάλυμα	Noun-N
Σαλαθιηλ	Noun-M
μάρσιππος	Noun-M
ἄγευστος	Adjective
Σιδόνιος	Noun-M
ξλοδιυς	Noun-M
πηχυαῖος	Noun-N
φιλομαθέω	Verb
ἀντιβλέπω	Verb
σικάριος	Noun-M
ναυπηγός	Noun-M
τριβώνιον	Noun-N
ἐγγαστρίμυθος	Adjective
ἀποσοβέω	Verb
διαφωνία	Noun-F
εἰστίθημι	Verb
διάδοσις	Noun-F
ἀπολογίζομαι	Verb
περιβαίνω	Verb
μητίομαι	Verb
Γάλβα	Noun-M
Περσαῖος	Noun-M
Ἐφέσια	Noun-N
ἐπικλείω	Verb
φύραμα	Noun-N
ἔραζε	Adverb
ἀμφιβολία	Noun-F
χίμαιρα	Noun-F
βουληφόρος	Adjective
σκευασία	Noun-F
κατοικτείρω	Verb
φιλήκοος	Adjective
ἀποκατάστασις	Noun-F
ἀγάπησις	Noun-F
ψωμός	Noun-M
διάρροια	Noun-F
ἐπίπληξις	Noun-F
Φίλαγρος	Noun-M
ὁρκόω	Verb
θωπεύω	Verb
συσκοτάζω	Verb
περίμετρον	Noun-N
ἄγημα	Noun-N
ἀτεκνόω	Verb
συγγνωστός	Adjective
Βαιθσαμυς	Noun-M
ματεύω	Verb
ἔπαθλον	Noun-N
ἀποβιβάζω	Verb
αὐτοδίδακτος	Adjective
ἐπιχωρέω	Verb
δύσπεπτος	Adjective
κωβιός	Noun-M
ἀσύνδετος	Adjective
Λάρκιος	Noun-M
ἱερόω	Verb
Αἴθρη	Noun-F
περσέα	Noun-M
φρονηματίζομαι	Verb
λιθοτομία	Noun-F
Πενθεσιλεία	Noun-F
καῦσος	Noun-M
παρείκω	Verb
Αδρααζαρ	Noun-M
ἰσοσκελής	Adjective
ὁμογνωμονέω	Verb
ὑστέρημα	Noun-N
Νῖσος	Noun-M
παλίνορσος	Adjective
μύλος	Noun-M
ιβ	Adjective
μαίομαι	Verb
Ξάνθιος	Noun-M
μετοχή	Noun-F
ἐπιφροσύνη	Noun-F
πότης	Noun-F
Οἰταῖος	Noun-M
βωμολόχος	Adjective
Εφραθα	Noun-M
βράσσω	Verb
Ἰμίλκων	Noun-M
Πάχυνος	Noun-M
Πυθοῖ	Adverb
καταθεάομαι	Verb
Ἴκαρος	Noun-M
διάκενος	Adjective
σεβασμός	Noun-M
ὀψωνέω	Verb
ἀστακός	Noun-M
ῥαψῳδέω	Verb
κακολογέω	Verb
διαπεραίνω	Verb
Εμμωρ	Noun-M
Σέξστος	Noun-M
δίκελλα	Noun-F
ἀφήγησις	Noun-F
Περιπατητικός	Adjective
προσαναλαμβάνω	Verb
συγκατακλίνω	Verb
προσευρίσκω	Verb
προσανέχω	Verb
πόλιτις	Noun-F
γλουτός	Noun-M
διφυής	Adjective
Ἀνταῖος	Noun-M
διαπορθέω	Verb
Μεταπόντιον	Noun-N
θυμαλγής	Adjective
Ναβαλ	Noun-M
Δρύοψ	Noun-M
προσερείδω	Verb
δεκάδαρχος	Noun-M
Κούριον	Noun-N
Βούσιρις	Noun-F
αὐτοκύλιστος	Noun-M
Βενιαμῖτης	Noun-M
συγκαθίστημι	Verb
ἀρχέγονος	Adjective
δήμευσις	Noun-F
ὁμότεχνος	Adjective
βυθίζω	Verb
κατασημαίνω	Verb
ὑφαντικός	Adjective
ἀμφιγύεις	Adjective
Παρμένων	Noun-M
παρέζομαι	Verb
πενταετής	Adjective
Ἀριαῖος	Noun-M
ἐνενηκοστός	Adjective
ὑψιμέδων	Noun-M
διεξελαύνω	Verb
ὁμοφρονέω	Verb
γεραρός	Adjective
Λαρισαῖος	Noun-M
κράμβη	Noun-F
Ἰάρχᾳ	Noun-M
δολόω	Verb
ἔκφυσις	Noun-F
δυσγένεια	Noun-F
κόνδυλος	Noun-M
Φυλιστιιμ	Noun-M
κοσμικός	Adjective
οἷονπερ	Adverb
φθινύθω	Verb
ἐπίγονος	Noun-M
ἐπέπειμι	Verb
συμπεραίνω	Verb
ἐπισάττω	Verb
ἄσταχυς	Noun-M
φλογερός	Noun-M
διοίγνυμι	Verb
ὠκύπορος	Adjective
ἐνεσία	Noun-F
ἄσκεπτος	Adjective
Ταλθύβιος	Noun-M
ξέω	Verb
ἐμμεμαώς	Verb
περιηγητής	Noun-M
τείχισμα	Noun-N
σηπεδών	Noun-F
Μηνύκιος	Noun-M
Ἅγνων	Noun-M
νειός	Noun-F
παραπομπή	Noun-F
ἀρρενικός	Adjective
ἐπαλείφω	Verb
γέεννα	Noun-F
καταμελέω	Verb
πλέγμα	Noun-N
Σεπφωρίτης	Noun-M
ἐπιτρέφω	Verb
ἐπίκλητος	Adjective
κώλυσις	Noun-F
ἐντυπόω	Verb
συγκοιμάομαι	Verb
ἀπόσιτος	Noun-M
δάνεισμα	Noun-N
διαδύνω	Verb
Ἀρτεμίσια	Noun-F
Πολύστρατος	Noun-M
ἀνακτίζω	Verb
κρατερόφρων	Adjective
Μύνδιος	Noun-M
τάρβος	Noun-N
Φιλητᾶς	Noun-M
ἀναδασμός	Noun-M
ἀστικός	Adjective
βοτόν	Noun-N
κάτοχος	Adjective
πλήμμυρα	Noun-F
ῥήτρα	Noun-F
ὕαλος	Noun-F
θήρειος	Adjective
Θεοκρίνης	Noun-M
ἀντιγραφή	Noun-F
Ναίς	Noun-F
φιλοκερδής	Noun-M
Περίλαος	Noun-M
εἰκασία	Noun-F
Πολύγνωτος	Noun-M
κακούργημα	Noun-N
μανδραγόρας	Noun-M
διακλέπτω	Verb
Τόμυρις	Noun-F
κρατιστεύω	Verb
Βόηθος	Noun-M
Δωρίμαχος	Noun-M
Δικαιάρχεια	Noun-F
βάξις	Noun-F
Βράγχιδαι	Noun-M
μετάδοσις	Noun-F
φερέσβιος	Adjective
εἰδοί	Noun-F
τρωγλοδύτης	Noun-M
προαπαντάω	Verb
φόως	Noun-N
βελτίωσις	Noun-F
δύσφημος	Adjective
Δεββωρα	Noun-F
στοιχηδόν	Adverb
θανατάω	Verb
Ἰσμηνός	Noun-M
μαιόομαι	Verb
χλιαρός	Adjective
περατόω	Verb
ἀδέσποτος	Adjective
ἐπιθυμητός	Adjective
Ἐπιγένης	Noun-M
ἀπονοέω	Verb
ἐφίζω	Verb
Τιρίβαζος	Noun-M
Ἄκανθος	Noun-M
Μόψος	Noun-M
μεταλλεύω	Verb
καταθνητός	Adjective
εὐεργέτημα	Noun-N
εἶμι	Verb
δεκατεύω	Verb
Κλειώ	Noun-F
Ἄβδηρα	Noun-N
πρακτέος	Adjective
ἀπολάω	Verb
Θ	Noun-M
Ἀχαιικός	Adjective
πτώσσω	Verb
ἀνυπαίτιος	Adjective
Μεγαβάτης	Noun-M
ἐπικτυπέω	Verb
ἀπομαραίνω	Verb
δοιώ	Adverb
Ἀηνόβαρβος	Noun-M
Φορωνεύς	Noun-M
Ἄβας	Noun-M
Πολύξενος	Noun-M
κατορρωδέω	Verb
Ξοῦθος	Noun-M
ἐκθύω	Verb
Ἰήσων	Noun-M
μῶλος	Noun-M
ἐγκύρω	Verb
Τολμίδης	Noun-M
Φείδων	Noun-M
Οὐρανία	Noun-F
ὕφαλος	Adjective
δνοφερός	Adjective
βόθυνος	Noun-M
σάπφειρος	Noun-F
λάπτω	Verb
μύδρος	Noun-M
Θεοδότη	Noun-F
ἀμφιέλισσα	Noun-F
περιδέω	Verb
ἐναρίζω	Verb
κώνωψ	Noun-M
Σιληνός	Noun-M
ἐπικτάομαι	Verb
ἀριστεῖος	Adjective
προμηνύω	Verb
συνάπας	Adjective
τριακόντορος	Noun-F
Μάρθα	Noun-F
Πακτωλός	Noun-M
Ναζωραῖος	Noun-M
Ἀλκμεωνίδης	Noun-M
ὑποπόδιον	Noun-N
ἐννακόσιοι	Adjective
Τιμασίων	Noun-M
λεκάνη	Noun-F
εὐποιία	Noun-F
Νάρβων	Noun-M
Ζακανθαῖος	Adjective
Χίμαιρα	Noun-F
ἐφοπλίζω	Verb
τεκνοποιέω	Verb
κολεόν	Noun-N
πανουργέω	Verb
ἔνοικος	Adjective
ἀντολίη	Noun-F
ἀθόρυβος	Adjective
παραμήκης	Adjective
Καρδιανός	Noun-M
ἀντιλήπτωρ	Noun-M
θλάω	Verb
δημαγωγία	Noun-F
διαγορεύω	Verb
Ἄριστος	Noun-M
διάδηλος	Adjective
ἄρσις	Noun-F
ἀέκητι	Adverb
ἴουλος	Noun-M
ἀγένειος	Noun-M
διεξάγω	Verb
δύσερις	Adjective
Φίλα	Noun-F
Ἱερή	Noun-F
Βηρυτός	Noun-F
Εὐρυσθένης	Noun-M
ἐρίγδουπος	Adjective
Ἀκρίσιος	Noun-M
τετράζω	Verb
ἐλεγκτικός	Adjective
δίω	Verb
μεταμορφόω	Verb
ὀλετήρ	Noun-M
κατάστημα	Noun-N
προσονομάζω	Verb
ἀκίς	Noun-F
Καλυδώνιος	Noun-M
καπνίζω	Verb
ἀνοδία	Noun-F
ἐξασθενέω	Verb
Ἰαπετός	Noun-M
Φυλομάχη	Noun-F
ἀπρονόητος	Adverb
μενοεικής	Adjective
στείνω	Verb
μεταχωρέω	Verb
Κηφισιάδης	Noun-M
Φαβρίκιος	Noun-M
γειτνίασις	Noun-F
γεννητής	Noun-M
ἀμφαδόν	Adverb
νουνεχής	Adverb
ἀφίδρυμα	Noun-N
Ἴφικλος	Noun-M
Λαοδάμας	Noun-M
Εὐφορίων	Noun-M
σκευωρέω	Verb
πληροφορέω	Verb
ἐπίδικος	Adjective
ἐπιρροή	Noun-F
δημιουργικός	Adjective
περιοικοδομέω	Verb
Ζεβεδαῖος	Noun-M
Τυρταῖος	Noun-M
ἀλληγορέω	Verb
ἀνανταγώνιστος	Adjective
κνημός	Noun-M
δίπτυχος	Adjective
δικαστικός	Adjective
σύνδυο	Adjective
στρατηγίς	Noun-F
ὑμός	Adjective
κοπρία	Noun-F
νυκτερίς	Noun-F
ἀντιδικέω	Verb
Σενναχηριμ	Noun-M
Οὐρανίωνες	Noun-M
Ῥωξάνη	Noun-F
ναυτιάω	Verb
διαδρομή	Noun-F
εὔπεπτος	Noun-N
ὑφηγητής	Noun-M
οἴμμοι	Interjection
τηλικόσδε	Adjective
αἰθύσσω	Verb
πηγαῖος	Adjective
Ἀρίστεας	Noun-M
περιπλοκή	Noun-F
εὐορκέω	Verb
ἀποκναίω	Verb
δυτικός	Adjective
Ιοθορ	Noun-M
ἐπαισθάνομαι	Verb
διάτασις	Noun-F
ταχυτής	Noun-F
πεντηκοστή	Noun-F
πληθυντικός	Adjective
Πισαῖος	Noun-M
ἀλάλητος	Noun-M
Μουσεῖον	Noun-N
Κορινθιακός	Adjective
Μνημοσύνη	Noun-F
τηλεθάω	Verb
ὕψωμα	Noun-N
Αχιτοφελ	Noun-M
Βαιτυλουα	Noun-F
κλίβανος	Noun-M
Ραψακης	Noun-M
Ἴασος	Noun-M
κέλαδος	Noun-M
ἀσυλία	Noun-F
περισφίγγω	Verb
κεχαρισμένως	Adjective
Ἄδρηστος	Noun-M
ταρφύς	Noun-N
σχέδιος	Noun-M
ἄαπτος	Adjective
ἀδίδακτος	Adjective
θηρατήρ	Noun-M
Ἀρισταίνετος	Noun-M
ὑπερμενής	Adjective
Σαρουια	Noun-M
προβιβάζω	Verb
ἀγχίνοος	Adjective
κυνηγετικός	Adjective
βρόμος	Noun-M
δαήμων	Adjective
μασάω	Verb
ἀγωνιστικός	Noun-M
ἀποπλύνω	Verb
πᾶσις	Noun-F
παροψίς	Noun-F
ῥῆξις	Noun-F
πλεκτάνη	Noun-F
ἐκβράζω	Verb
ἀμενηνός	Adjective
ὀμβρέω	Verb
Ἔλυμος	Noun-M
ἀργυρολογέω	Verb
Λυκίσκος	Noun-M
ἀποθέω	Verb
σκότιος	Adjective
μελῳδέω	Verb
Ἄσιας	Noun-F
ἀνέρπω	Verb
λιγαίνω	Verb
ἁλουργίς	Noun-F
Ἁλικαρνασσός	Noun-F
κατάποσις	Noun-F
κατάλειμμα	Noun-N
ἔκθεσις	Noun-F
μεχωνωθ	Noun-F
ἀρδεύω	Verb
σύσσιτος	Noun-M
ὑφάντης	Noun-M
μύωψ	Noun-M
Πυθιάς	Noun-F
βάκτρον	Noun-N
Ζῆθος	Noun-M
μαλακότης	Noun-F
πύκα	Adverb
Καύνιος	Noun-M
Σάδωκος	Noun-M
ἐπίκλοπος	Adjective
πλώιμος	Adjective
Νέων	Noun-M
Ων	Noun-M
μέλαινα	Noun-F
ἱεροσυλέω	Verb
ἀναχώννυμι	Verb
ἄψαυστος	Adjective
στεφανίτης	Noun-M
ἀπολύτρωσις	Noun-F
Ἡραῖος	Noun-N
προκαταγιγνώσκω	Verb
ἀμνήμων	Adjective
ἀμαιμάκετος	Adjective
μενοινή	Noun-F
κενοδοξία	Noun-F
ἀερτάζω	Verb
ἑπτάπυλος	Adjective
ἐρόεις	Adjective
ἐκπεριέρχομαι	Verb
Μαδιηνιτής	Noun-F
ἐπεκτείνω	Verb
Ἐριφύλη	Noun-F
Κρεσφόντης	Noun-M
πρόχειρον	Noun-N
πλαίσιον	Noun-N
σικερα	Noun-N
Τράχων	Noun-M
ἡμισφαίριον	Noun-N
δυσσέβεια	Noun-F
ἀπελέγχω	Verb
μεγαλοφρονέω	Verb
ἐμπάσσω	Verb
καταξαίνω	Verb
ἐνόδιος	Noun-M
Δουλίχιον	Noun-N
Τιμοσθένης	Noun-M
Αμμαους	Noun-F
κυφός	Noun-M
Οἰνόη	Noun-F
παρθένιος	Adjective
Χαλκομέδη	Noun-M
Κινέης	Noun-M
ἐμβατεύω	Verb
Λυκαῖος	Noun-M
Ἀριστόδικος	Noun-M
ἐπιλύω	Verb
Φυλεύς	Noun-M
Φιλόλαος	Noun-M
κοινοπραγία	Noun-F
Ὕλη	Noun-F
κατατήκω	Verb
προσακούω	Verb
ἀποσκήπτω	Verb
ἀντικάθημαι	Verb
Φενεός	Noun-F
δραπετεύω	Verb
Πρίαπος	Noun-M
καθυπέρτερος	Adjective
ἀντιπαράγω	Verb
Πασιφάη	Noun-F
κυνίδιον	Noun-N
ἐγκατατίθεμαι	Verb
ἡμερίς	Noun-F
ἄιστος	Adjective
ἄχνη	Noun-F
ἀπόθεσις	Noun-F
Ἄτυς	Noun-M
Θέρμη	Noun-F
ἤιος	Noun-M
συνεργάζομαι	Verb
διαχειμάζω	Verb
φάλαρον	Noun-N
πατροκτόνος	Adjective
ἀνώλεθρος	Adjective
βράχεα	Noun-N
ἐπαμφοτερίζω	Verb
σπερματικός	Adjective
μεσουράνημα	Noun-N
ἐπιλήσμων	Adjective
Μελχισέδεκ	Noun-M
κηρωτή	Noun-F
Μενοικεύς	Noun-M
σιτοποιός	Adjective
Δημητριάς	Noun-F
λίς	Noun-M
ἀντιστράτηγος	Noun-M
συνηρεφής	Adjective
γυμνής	Noun-M
τρῖψις	Noun-F
ἀνάλυσις	Noun-F
καρτερῶς	Unknown
λογογράφος	Noun-M
ἐπαποστέλλω	Verb
προσκύνησις	Noun-F
Μαυρούσιος	Noun-M
Μαλλός	Noun-M
Τίβερις	Noun-M
διανοητικός	Adjective
ὑποκορίζομαι	Verb
θάω	Verb
Αἰσχρίων	Noun-M
ἐπιείκελος	Adjective
συμπλάσσω	Verb
ἐκτανύω	Verb
περιπαθέω	Verb
ὠνητός	Adjective
ἐγχρονίζω	Verb
ἐθήμων	Adjective
παχύτης	Noun-F
κεραός	Adjective
προσορίζω	Verb
κατασπάζομαι	Verb
Ἑρμιονεύς	Noun-M
ἀντεξετάζω	Verb
δεκαπέντε	Adjective
ἔλυτρον	Noun-N
ῥύσιον	Noun-N
Διοσημία	Noun-F
σκαιότης	Noun-F
ὁπόθι	Adverb
σημάντωρ	Noun-M
Φάϋλλος	Noun-M
δευτεραῖος	Adjective
Σίφνιος	Noun-M
καταπειράζω	Verb
Κορνηλία	Noun-M
πήγανον	Noun-N
ἀπόπροθι	Adverb
περιπείρω	Verb
καταπαλαίω	Verb
παρακόπτω	Verb
Πύρρα	Noun-F
δυσίατος	Adjective
παραποτάμιος	Noun-M
τεναγώδης	Adjective
βιωτικός	Adjective
ἀπόρροια	Noun-F
Μουρήνᾳ	Noun-M
συμφράσσω	Verb
κακηγορέω	Verb
Κύδνος	Noun-M
αἰγόκερως	Noun-M
ἐλευθέρωσις	Noun-F
φιλελεύθερος	Adjective
κατηφέω	Verb
καθυφίημι	Verb
δύσποτμος	Adjective
Ποσείδιππος	Noun-M
Ζηνόθεμις	Noun-F
κιβώτιον	Noun-N
φελλός	Noun-M
ἀγχίμολος	Adjective
δηθύνω	Verb
Ναυκρατίτης	Noun-M
διακατέχω	Verb
μονοειδής	Adjective
ἐξακολουθέω	Verb
συμμάχομαι	Verb
ἕρκειος	Adjective
συμβούλιον	Noun-N
ἀνασειράζω	Verb
ἄσαρκος	Adjective
εὔβουλος	Adjective
ἀστρατεία	Noun-F
κεράστης	Noun-M
ὑπεραγαπάω	Verb
Μαχαιρᾶς	Noun-M
ἀνάκρισις	Noun-F
